category_key,category_product_order,abstract_sku,tax_set_name,name.en_US,name.pl_PL,name.uk_UA,description.en_US,description.pl_PL,description.uk_UA,url.en_US,url.pl_PL,url.uk_UA,meta_title.en_US,meta_title.pl_PL,meta_title.uk_UA,meta_keywords.en_US,meta_keywords.pl_PL,meta_keywords.uk_UA,meta_description.en_US,meta_description.pl_PL,meta_description.uk_UA,attribute_key_1,value_1,attribute_key_1.en_US,attribute_key_1.pl_PL,attribute_key_1.uk_UA,value_1.en_US,value_1.pl_PL,value_1.uk_UA,attribute_key_2,value_2,attribute_key_2.en_US,attribute_key_2.pl_PL,attribute_key_2.uk_UA,value_2.en_US,value_2.pl_PL,value_2.uk_UA,attribute_key_3,value_3,attribute_key_3.en_US,attribute_key_3.pl_PL,attribute_key_3.uk_UA,value_3.en_US,value_3.pl_PL,value_3.uk_UA,attribute_key_4,value_4,attribute_key_4.en_US,attribute_key_4.pl_PL,attribute_key_4.uk_UA,value_4.en_US,value_4.pl_PL,value_4.uk_UA,new_from,new_to,color_code
seals-fluid-power,30,PLM-HYD-CYL63,Standard Taxes,Hydraulic cylinder 63/35 double-acting,Siłownik hydrauliczny 63/35 dwustronnego działania,Гідроцилінд 63/35 двосторонньої дії,"<p>Double-acting welded hydraulic cylinder for presses, tippers and clamping rigs. Chrome-plated rod and cast eye mountings at both ends. Choose the stroke length below.</p><ul><li>Bore 63 mm, rod 35 mm</li><li>Rated working pressure 250 bar</li><li>Double-acting with eye mountings</li></ul>","<p>Spawany siłownik hydrauliczny dwustronnego działania do pras, wywrotek i układów mocujących. Tłoczysko chromowane i lane mocowania oczkowe z obu stron. Wybierz poniżej długość skoku.</p><ul><li>Średnica cylindra 63 mm, tłoczysko 35 mm</li><li>Nominalne ciśnienie pracy 250 bar</li><li>Dwustronnego działania z mocowaniami oczkowymi</li></ul>","<p>Зварний гідроцилінд двосторонньої дії для пресів, самоскидів і затискних пристроїв. Хромований шток і литі вушкові крі́плення з обох боків. Виберіть нижче довжину ходу.</p><ul><li>Діаметр цилінда 63 mm, шток 35 mm</li><li>Номінальний робочий тиск 250 bar</li><li>Двосторонньої дії з вушковими крі́пленнями</li></ul>",/en/hydraulic-cylinder-63-35-double-acting-plm-hyd-cyl63,/pl/hydraulic-cylinder-63-35-double-acting-plm-hyd-cyl63,/uk/hydraulic-cylinder-63-35-double-acting-plm-hyd-cyl63,Hydraulic cylinder 63/35 double-acting,Siłownik hydrauliczny 63/35 dwustronnego działania,Гідроцилінд 63/35 двосторонньої дії,hydraulic cylinder double acting 250 bar,siłownik hydrauliczny dwustronnego działania 250 bar,гідроцилінд двосторонньої дії 250 bar,Double-acting hydraulic cylinder 63/35 rated to 250 bar.,Siłownik hydrauliczny dwustronnego działania 63/35 na ciśnienie do 250 bar.,Гідроцилінд двосторонньої дії 63/35 на тиск до 250 bar.,material,Steel,Material,Materiał,Матеріал,Steel,Stal,Сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Karpat Industrial,Brand,Marka,Бренд,Karpat Industrial,Karpat Industrial,Karpat Industrial,,,
lubricants-chemicals,10,PLM-LUB-EP2,Standard Taxes,Lithium EP2 grease 400 g cartridge,Smar litowy EP2 kartusz 400 g,Літієве мастило EP2 картридж 400 g,"<p>Lithium soap multipurpose grease with extreme-pressure additives, NLGI grade 2. The workshop default for bearings, pins and bushes under shock load.</p><ul><li>NLGI 2, EP additives</li><li>Operating range -20 to +130 degrees C</li><li>400 g cartridge for standard grease guns</li></ul>","<p>Smar wielofunkcyjny na bazie mydła litowego z dodatkami EP, klasa NLGI 2. Warsztatowy standard do łożysk, sworzni i tulei pracujących pod obciążeniem udarowym.</p><ul><li>NLGI 2, dodatki EP</li><li>Zakres pracy od -20 do +130 stopni C</li><li>Kartusz 400 g do standardowych smarownic</li></ul>","<p>Універсальне мастило на основі літієвого мила з протизадирними присадками, класу NLGI 2. Стандарт майстерні для підшипників, пальців і втулок під ударним навантаженням.</p><ul><li>NLGI 2, присадки EP</li><li>Робочий діапазон від -20 до +130 градусів C</li><li>Картридж 400 g для стандартних шприців для мастила</li></ul>",/en/lithium-ep2-grease-400-g-cartridge-plm-lub-ep2,/pl/lithium-ep2-grease-400-g-cartridge-plm-lub-ep2,/uk/lithium-ep2-grease-400-g-cartridge-plm-lub-ep2,Lithium EP2 grease 400 g cartridge,Smar litowy EP2 kartusz 400 g,Літієве мастило EP2 картридж 400 g,lithium ep2 grease nlgi 2 cartridge,smar litowy ep2 nlgi 2 kartusz,літієве мастило ep2 nlgi 2 картридж,Lithium EP2 multipurpose grease NLGI 2 in a 400 g cartridge.,Litowy smar wielofunkcyjny EP2 NLGI 2 w kartuszu 400 g.,Літієве універсальне мастило EP2 NLGI 2 у картриджі 400 g.,material,Lithium soap,Material,Materiał,Матеріал,Lithium soap,Mydło litowe,Літієве мило,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Cartridge,Unit of measure,Jednostka miary,Одиниця виміру,Cartridge,Kartusz,Картридж,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
lubricants-chemicals,20,PLM-LUB-HLP46,Standard Taxes,Hydraulic oil HLP 46,Olej hydrauliczny HLP 46,Гідравлічна олива HLP 46,"<p>Mineral hydraulic oil to DIN 51524 part 2 (HLP), viscosity grade ISO VG 46. Suitable for vane, gear and piston pumps in mobile and stationary systems.</p><ul><li>ISO VG 46, DIN 51524-2 HLP</li><li>Good anti-wear and demulsifying performance</li><li>20 litre canister</li></ul>","<p>Mineralny olej hydrauliczny według DIN 51524 część 2 (HLP), klasa lepkości ISO VG 46. Odpowiedni do pomp łopatkowych, zębatych i tłokowych w układach mobilnych i stacjonarnych.</p><ul><li>ISO VG 46, DIN 51524-2 HLP</li><li>Dobre właściwości przeciwzużyciowe i deemulgujące</li><li>Kanister 20 litrów</li></ul>","<p>Мінеральна гідравлічна олива за DIN 51524 частина 2 (HLP), клас в'язкості ISO VG 46. Підходить для лопатевих, шестеренних і поршневих насосів у мобільних і стаціонарних системах.</p><ul><li>ISO VG 46, DIN 51524-2 HLP</li><li>Добрі протизношувальні та деемульгуючі властивості</li><li>Каністра 20 літрів</li></ul>",/en/hydraulic-oil-hlp-46-plm-lub-hlp46,/pl/hydraulic-oil-hlp-46-plm-lub-hlp46,/uk/hydraulic-oil-hlp-46-plm-lub-hlp46,Hydraulic oil HLP 46,Olej hydrauliczny HLP 46,Гідравлічна олива HLP 46,hydraulic oil hlp 46 iso vg 46,olej hydrauliczny hlp 46 iso vg 46,гідравлічна олива hlp 46 iso vg 46,Mineral hydraulic oil HLP ISO VG 46 in a 20 litre canister.,Mineralny olej hydrauliczny HLP ISO VG 46 w kanistrze 20 litrów.,Мінеральна гідравлічна олива HLP ISO VG 46 у каністрі 20 літрів.,material,Mineral oil,Material,Materiał,Матеріал,Mineral oil,Olej mineralny,Мінеральна олива,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Canister,Unit of measure,Jednostka miary,Одиниця виміру,Canister,Kanister,Каністра,brand,Karpat Industrial,Brand,Marka,Бренд,Karpat Industrial,Karpat Industrial,Karpat Industrial,,,
lubricants-chemicals,30,PLM-CHM-BRAKE,Standard Taxes,Brake and parts cleaner 500 ml,Zmywacz do hamulców i części 500 ml,Очищувач гальм і деталей 500 ml,"<p>Fast-evaporating solvent cleaner for brakes, clutches and machined parts. Removes oil, grease and brake dust without leaving a residue.</p><ul><li>Residue-free, fast drying</li><li>Acetone-free formulation</li><li>500 ml aerosol with jet nozzle</li></ul>","<p>Szybko odparowujący zmywacz rozpuszczalnikowy do hamulców, sprzęgieł i części obrabianych. Usuwa olej, smar i pył hamulcowy, nie pozostawiając osadu.</p><ul><li>Bez pozostałości, szybko schnie</li><li>Formuła bezacetonowa</li><li>Aerozol 500 ml z dyszą strumieniową</li></ul>","<p>Швидковисихаючий очищувач на основі розчинника для гальм, зчеплень і механічно обробленых деталей. Видаляє оливу, мастило та гальмівний пил, не залишаючи слідів.</p><ul><li>Без залишку, швидко висихає</li><li>Формула без ацетону</li><li>Аерозоль 500 ml із струминною насадкою</li></ul>",/en/brake-and-parts-cleaner-500-ml-plm-chm-brake,/pl/brake-and-parts-cleaner-500-ml-plm-chm-brake,/uk/brake-and-parts-cleaner-500-ml-plm-chm-brake,Brake and parts cleaner 500 ml,Zmywacz do hamulców i części 500 ml,Очищувач гальм і деталей 500 ml,brake parts cleaner aerosol residue free,zmywacz hamulców części aerozol bez osadu,очищувач гальм деталей аерозоль без залишку,Residue-free brake and parts cleaner in a 500 ml aerosol.,Niepozostawiający osadu zmywacz do hamulców i części w aerozolu 500 ml.,Очищувач гальм і деталей без залишку в аерозолі 500 ml.,material,Mineral oil,Material,Materiał,Матеріал,Mineral oil,Olej mineralny,Мінеральна олива,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
tools-abrasives,10,PLM-TLS-TORQ,Standard Taxes,Torque wrench 40-200 Nm,Klucz dynamometryczny 40-200 Nm,Динамометричний ключ 40-200 Nm,"<p>Click-type torque wrench with a 1/2 inch square drive and a reversible ratchet head. Calibrated with a test certificate and supplied in a moulded case.</p><ul><li>Range 40 to 200 Nm, accuracy +/- 4 percent</li><li>1/2 inch reversible ratchet drive</li><li>Supplied with calibration certificate and case</li></ul>","<p>Zatrzaskowy klucz dynamometryczny z napędem kwadratowym 1/2 cala i przestawną grzechotką. Kalibrowany, ze świadectwem badania, dostarczany w formowanej kasecie.</p><ul><li>Zakres od 40 do 200 Nm, dokładność +/- 4 procent</li><li>Przestawny napęd grzechotkowy 1/2 cala</li><li>Dostarczany ze świadectwem kalibracji i kasetą</li></ul>","<p>Клацаючий динамометричний ключ із квадратним приводом 1/2 дюйма та реверсивною тріскачкою. Калібрований, із протоколом перевірки, постачається у формованому кейсі.</p><ul><li>Діапазон від 40 до 200 Nm, точність +/- 4 відсотки</li><li>Реверсивний тріскачковий привід 1/2 дюйма</li><li>Постачається зі свідоцтвом про калібрування та кейсом</li></ul>",/en/torque-wrench-40-200-nm-plm-tls-torq,/pl/torque-wrench-40-200-nm-plm-tls-torq,/uk/torque-wrench-40-200-nm-plm-tls-torq,Torque wrench 40-200 Nm,Klucz dynamometryczny 40-200 Nm,Динамометричний ключ 40-200 Nm,torque wrench 40 200 nm calibrated,klucz dynamometryczny 40 200 nm kalibrowany,динамометричний ключ 40 200 nm калібрований,Calibrated click torque wrench 40-200 Nm with 1/2 inch drive.,Kalibrowany zatrzaskowy klucz dynamometryczny 40-200 Nm z napędem 1/2 cala.,Калібрований клацаючий динамометричний ключ 40-200 Nm із приводом 1/2 дюйма.,material,Chrome-vanadium steel,Material,Materiał,Матеріал,Chrome-vanadium steel,Stal chromowo-wanadowa,Хром-ванадієва сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Vistula Tools,Brand,Marka,Бренд,Vistula Tools,Vistula Tools,Vistula Tools,,,
tools-abrasives,20,PLM-TLS-SOCK94,Standard Taxes,Socket set 94 pieces,Zestaw nasadek 94 elementy,Набір головок 94 елементи,"<p>Combined 1/4 inch and 1/2 inch socket set with ratchets, extensions and bit adapters in a blow-moulded case. Covers most fastener sizes found on plant and vehicles.</p><ul><li>94 pieces, 1/4 inch and 1/2 inch drives</li><li>Chrome-vanadium steel, satin finish</li><li>Blow-moulded case with sockets retained in place</li></ul>","<p>Łączony zestaw nasadek 1/4 cala i 1/2 cala z grzechotkami, przedłużkami i adapterami do bitów w kasecie formowanej wtryskowo. Obejmuje większość rozmiarów elementów złącznych spotykanych w maszynach i pojazdach.</p><ul><li>94 elementy, napędy 1/4 cala i 1/2 cala</li><li>Stal chromowo-wanadowa, wykończenie satynowe</li><li>Kaseta formowana z nasadkami trzymanymi na miejscu</li></ul>","<p>Комбінований набір головок 1/4 дюйма та 1/2 дюйма з тріскачками, подовжувачами й адаптерами для біт у формованому кейсі. Охоплює більшість розмірів кріпильних елементів на обладнанні та транспорті.</p><ul><li>94 елементи, приводи 1/4 дюйма та 1/2 дюйма</li><li>Хром-ванадієва сталь, сатинове покриття</li><li>Формований кейс із фіксацією головок на місці</li></ul>",/en/socket-set-94-pieces-plm-tls-sock94,/pl/socket-set-94-pieces-plm-tls-sock94,/uk/socket-set-94-pieces-plm-tls-sock94,Socket set 94 pieces,Zestaw nasadek 94 elementy,Набір головок 94 елементи,socket set 94 piece 1/2 inch,zestaw nasadek 94 elementy 1/2 cala,набір головок 94 елементи 1/2 дюйма,94-piece chrome-vanadium socket set with 1/4 and 1/2 inch drives.,94-elementowy zestaw nasadek ze stali chromowo-wanadowej z napędami 1/4 i 1/2 cala.,Набір головок із хром-ванадієвої сталі на 94 елементи з приводами 1/4 і 1/2 дюйма.,material,Chrome-vanadium steel,Material,Materiał,Матеріал,Chrome-vanadium steel,Stal chromowo-wanadowa,Хром-ванадієва сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Set,Unit of measure,Jednostka miary,Одиниця виміру,Set,Zestaw,Набір,brand,Vistula Tools,Brand,Marka,Бренд,Vistula Tools,Vistula Tools,Vistula Tools,,,
tools-abrasives,30,PLM-ABR-FLAP125,Standard Taxes,Flap disc 125 mm P60 zirconia,Dysk lamelkowy 125 mm P60 cyrkonowy,Пелюстковий круг 125 mm P60 цирконієвий,"<p>Zirconia flap disc for angle grinders, for weld dressing and edge blending on steel and stainless steel. Cuts cooler and lasts longer than a bonded grinding wheel.</p><ul><li>125 mm diameter, 22.23 mm bore</li><li>Zirconia grain, P60</li><li>Maximum 12000 rpm, supplied in a pack of 10</li></ul>","<p>Cyrkonowy dysk lamelkowy do szlifierek kątowych, do obróbki spoin i wyrównywania krawędzi na stali i stali nierdzewnej. Pracuje w niższej temperaturze i wytrzymuje dłużej niż spoiwowa tarcza szlifierska.</p><ul><li>Średnica 125 mm, otwór 22,23 mm</li><li>Ziarno cyrkonowe, P60</li><li>Maksymalnie 12000 obr./min, dostarczany w opakowaniu 10 szt.</li></ul>","<p>Цирконієвий пелюстковий круг для кутових шліфмашин, для зачищення зварних швів і вирівнювання кромок на сталі та нержавіючій сталі. Ріже з меншим нагрівом і служить довше, ніж шліфувальний круг на зв'язці.</p><ul><li>Діаметр 125 mm, отвір 22,23 mm</li><li>Цирконієве зерно, P60</li><li>Максимум 12000 об/хв, постачається в упаковці 10 шт.</li></ul>",/en/flap-disc-125-mm-p60-zirconia-plm-abr-flap125,/pl/flap-disc-125-mm-p60-zirconia-plm-abr-flap125,/uk/flap-disc-125-mm-p60-zirconia-plm-abr-flap125,Flap disc 125 mm P60 zirconia,Dysk lamelkowy 125 mm P60 cyrkonowy,Пелюстковий круг 125 mm P60 цирконієвий,flap disc 125mm p60 zirconia,dysk lamelkowy 125mm p60 cyrkonowy,пелюстковий круг 125mm p60 цирконієвий,Zirconia flap disc 125 mm P60 for angle grinders in packs of 10.,Cyrkonowy dysk lamelkowy 125 mm P60 do szlifierek kątowych w opakowaniach po 10 szt.,Цирконієвий пелюстковий круг 125 mm P60 для кутових шліфмашин в упаковках по 10 шт.,material,Zirconia,Material,Materiał,Матеріал,Zirconia,Cyrkon,Цирконій,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Pack of 10,Unit of measure,Jednostka miary,Одиниця виміру,Pack of 10,Opakowanie 10 szt.,Упаковка 10 шт.,brand,Nordwerk,Brand,Marka,Бренд,Nordwerk,Nordwerk,Nordwerk,,,
tools-abrasives,40,PLM-TLS-IMPACT,Standard Taxes,Cordless impact wrench 18 V,Akumulatorowy klucz udarowy 18 V,Акумуляторний гайковерт 18 V,"<p>Brushless 18 V impact wrench with a 1/2 inch anvil, for wheel nuts, structural bolts and seized fasteners. Supplied with two batteries and a fast charger.</p><ul><li>Maximum breakaway torque 950 Nm</li><li>Brushless motor, three-speed control</li><li>Includes two 5.0 Ah batteries, charger and case</li></ul>","<p>Bezszczotkowy klucz udarowy 18 V z kowadełkiem 1/2 cala, do nakrętek koł, śrub konstrukcyjnych i zapieczonych elementów złącznych. Dostarczany z dwoma akumulatorami i szybką ładowarką.</p><ul><li>Maksymalny moment zrywający 950 Nm</li><li>Silnik bezszczotkowy, trzybiegowa regulacja</li><li>Zawiera dwa akumulatory 5,0 Ah, ładowarkę i kasetę</li></ul>","<p>Безщітковий гайковерт 18 V із наковальнею 1/2 дюйма, для колісних гайок, конструкційних болтів і закислих кріпильних елементів. Постачається з двома акумуляторами та швидким зарядним пристроєм.</p><ul><li>Максимальний зривний момент 950 Nm</li><li>Безщітковий двигун, тришвидкісне керування</li><li>Комплектується двома акумуляторами 5,0 Ah, зарядним пристроєм і кейсом</li></ul>",/en/cordless-impact-wrench-18-v-plm-tls-impact,/pl/cordless-impact-wrench-18-v-plm-tls-impact,/uk/cordless-impact-wrench-18-v-plm-tls-impact,Cordless impact wrench 18 V,Akumulatorowy klucz udarowy 18 V,Акумуляторний гайковерт 18 V,cordless impact wrench 18v 950 nm,akumulatorowy klucz udarowy 18v 950 nm,акумуляторний гайковерт 18v 950 nm,Brushless 18 V cordless impact wrench with 950 Nm breakaway torque.,Bezszczotkowy akumulatorowy klucz udarowy 18 V z momentem zrywającym 950 Nm.,Безщітковий акумуляторний гайковерт 18 V із зривним моментом 950 Nm.,material,Steel,Material,Materiał,Матеріал,Steel,Stal,Сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Set,Unit of measure,Jednostka miary,Одиниця виміру,Set,Zestaw,Набір,brand,Vistula Tools,Brand,Marka,Бренд,Vistula Tools,Vistula Tools,Vistula Tools,,,
workshop-consumables,10,PLM-WSC-WIPE,Standard Taxes,Industrial wiping roll 2-ply,Czyściwo przemysłowe w rolce 2-warstwowe,Промисловий протиральний рулон 2-шаровий,"<p>Two-ply industrial wiping roll for general workshop cleaning. Perforated sheets, absorbent enough for oil and coolant spills without shredding.</p><ul><li>Two-ply, 500 perforated sheets per roll</li><li>Blue, high wet strength</li><li>Fits standard floor and wall dispensers</li></ul>","<p>Dwuwarstwowe czyściwo przemysłowe w rolce do ogólnego czyszczenia w warsztacie. Perforowane listki, wystarczająco chłonne dla rozlanego oleju i chłodziwa, bez rozwłókniania.</p><ul><li>Dwuwarstwowe, 500 perforowanych listków w rolce</li><li>Niebieskie, wysoka wytrzymałość na mokro</li><li>Pasuje do standardowych podajników stojących i ściennych</li></ul>","<p>Двошаровий промисловий протиральний рулон для загального прибирання в майстерні. Перфоровані аркуші, достатньо вбирні для розлитої оливи та охолоджувальної рідини, не розшаровуються.</p><ul><li>Двошаровий, 500 перфорованих аркушів у рулоні</li><li>Синій, висока міцність у вологому стані</li><li>Підходить для стандартних підлогових і настінних диспенсерів</li></ul>",/en/industrial-wiping-roll-2-ply-plm-wsc-wipe,/pl/industrial-wiping-roll-2-ply-plm-wsc-wipe,/uk/industrial-wiping-roll-2-ply-plm-wsc-wipe,Industrial wiping roll 2-ply,Czyściwo przemysłowe w rolce 2-warstwowe,Промисловий протиральний рулон 2-шаровий,industrial wiping roll 2 ply blue,czyściwo przemysłowe w rolce 2 warstwowe niebieskie,промисловий протиральний рулон 2 шаровий синій,Two-ply blue industrial wiping roll with 500 perforated sheets.,Dwuwarstwowe niebieskie czyściwo przemysłowe w rolce z 500 perforowanymi listkami.,Двошаровий синій промисловий протиральний рулон із 500 перфорованими аркушами.,material,Cellulose,Material,Materiał,Матеріал,Cellulose,Celuloza,Целюлоза,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Roll,Unit of measure,Jednostka miary,Одиниця виміру,Roll,Rolka,Рулон,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
workshop-consumables,20,PLM-WSC-GLOVE,Standard Taxes,Nitrile disposable gloves,Rękawice nitrylowe jednorazowe,Нітрилові одноразові рукавички,"<p>Powder-free nitrile disposable gloves with a textured fingertip grip. Latex-free, so suitable where latex allergies are a concern.</p><ul><li>Powder-free and latex-free</li><li>Textured fingertips for wet grip</li><li>Dispenser box of 100</li></ul>","<p>Bezpudrowe rękawice nitrylowe jednorazowe z teksturowanym chwytem na opuszkach. Bez lateksu, więc odpowiednie tam, gdzie problemem są alergie na lateks.</p><ul><li>Bez pudru i bez lateksu</li><li>Teksturowane opuszki dla chwytu na mokro</li><li>Pudełko dozujące 100 szt.</li></ul>","<p>Нітрилові одноразові рукавички без пудри з текстурованими подушечками пальців. Без латексу, тому підходять там, де є ризик алергії на латекс.</p><ul><li>Без пудри та без латексу</li><li>Текстуровані подушечки пальців для хвату у вологому стані</li><li>Коробка-дозатор на 100 шт.</li></ul>",/en/nitrile-disposable-gloves-plm-wsc-glove,/pl/nitrile-disposable-gloves-plm-wsc-glove,/uk/nitrile-disposable-gloves-plm-wsc-glove,Nitrile disposable gloves,Rękawice nitrylowe jednorazowe,Нітрилові одноразові рукавички,nitrile gloves powder free box 100,rękawice nitrylowe bezpudrowe pudełko 100,нітрилові рукавички без пудри коробка 100,Powder-free nitrile disposable gloves in a dispenser box of 100.,Bezpudrowe rękawice nitrylowe jednorazowe w pudełku dozującym 100 szt.,Нітрилові одноразові рукавички без пудри в коробці-дозаторі на 100 шт.,material,Nitrile,Material,Materiał,Матеріал,Nitrile,Nitryl,Нітрил,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Box,Unit of measure,Jednostka miary,Одиниця виміру,Box,Karton,Коробка,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
