category_key,parent_category_key,name.de_DE,meta_title.de_DE,meta_description.de_DE,meta_keywords.de_DE,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US
cables,demoshop,Kabel,Kabel,Kabel,Kabel,1,1,1,1,0,1,80,Catalog + Slots,Cables,Cables,Cables,Cables
services,demoshop,Services,Services,Services,Services,1,1,1,1,0,1,40,Catalog (default),Services,Services,Services,Services
thermal_energy_systems,demoshop,"Thermische Energiesysteme","Thermische Energiesysteme","Thermische Energiesysteme","Thermische Energiesysteme",1,1,1,1,0,1,2,"Catalog (default)","Thermal Energy Systems","Thermal Energy Systems","Thermal Energy Systems","Thermal Energy Systems"
steam_boilers,thermal_energy_systems,Dampfkessel,Dampfkessel,Dampfkessel,Dampfkessel,1,1,1,1,0,1,3,"Catalog (default)","Steam Boilers","Steam Boilers","Steam Boilers","Steam Boilers"
hot_water_boilers,thermal_energy_systems,Warmwasserkessel,Warmwasserkessel,Warmwasserkessel,Warmwasserkessel,1,1,1,1,0,1,4,"Catalog (default)","Hot Water Boilers","Hot Water Boilers","Hot Water Boilers","Hot Water Boilers"
heat_recovery_systems,thermal_energy_systems,Wärmerückgewinnungssysteme,Wärmerückgewinnungssysteme,Wärmerückgewinnungssysteme,Wärmerückgewinnungssysteme,1,1,1,1,0,1,5,"Catalog (default)","Heat Recovery Systems","Heat Recovery Systems","Heat Recovery Systems","Heat Recovery Systems"
air_conditioning_heating,demoshop,"Klimatisierung und Heizlösungen","Klimatisierung und Heizlösungen","Klimatisierung und Heizlösungen","Klimatisierung und Heizlösungen",1,1,1,1,0,1,6,"Catalog (default)","Air Conditioning and Heating Solutions","Air Conditioning and Heating Solutions","Air Conditioning and Heating Solutions","Air Conditioning and Heating Solutions"
industrial_heat_pumps,air_conditioning_heating,"Industrielle Wärmepumpen","Industrielle Wärmepumpen","Industrielle Wärmepumpen","Industrielle Wärmepumpen",1,1,1,1,0,1,7,"Catalog (default)","Industrial Heat Pumps","Industrial Heat Pumps","Industrial Heat Pumps","Industrial Heat Pumps"
industrial_air_conditioning,air_conditioning_heating,"Industrielle Klimaanlagen","Industrielle Klimaanlagen","Industrielle Klimaanlagen","Industrielle Klimaanlagen",1,1,1,1,0,1,8,"Catalog (default)","Industrial Air Conditioning Units","Industrial Air Conditioning Units","Industrial Air Conditioning Units","Industrial Air Conditioning Units"
process_technology,demoshop,Bundles und mehr,Bundles und mehr,Bundles und mehr,Bundles und mehr,1,1,1,1,0,1,10,"Catalog (default)","Bundles and more","Bundles and more","Bundles and more","Bundles and more"
components_accessories,demoshop,"Komponenten und Zubehör","Komponenten und Zubehör","Komponenten und Zubehör","Komponenten und Zubehör",1,1,1,1,0,1,14,"Catalog (default)","Components and Accessories","Components and Accessories","Components and Accessories","Components and Accessories"
valves_fittings,components_accessories,"Ventile und Armaturen","Ventile und Armaturen","Ventile und Armaturen","Ventile und Armaturen",1,1,1,1,0,1,15,"Catalog (default)","Valves and Fittings","Valves and Fittings","Valves and Fittings","Valves and Fittings"
pumps,components_accessories,Pumpen,Pumpen,Pumpen,Pumpen,1,1,1,1,0,1,16,"Catalog (default)",Pumps,Pumps,Pumps,Pumps
sensors_gauges,components_accessories,"Sensoren und Messgeräte","Sensoren und Messgeräte","Sensoren und Messgeräte","Sensoren und Messgeräte",1,1,1,1,0,1,17,"Catalog (default)","Sensors and Gauges","Sensors and Gauges","Sensors and Gauges","Sensors and Gauges"
technical_services,services,"Technische Dienstleistungen","Technische Dienstleistungen","Technische Dienstleistungen","Technische Dienstleistungen",1,1,1,1,0,1,23,"Catalog (default)","Technical Services","Technical Services","Technical Services","Technical Services"
installation_commissioning,technical_services,"Installation und Inbetriebnahme","Installation und Inbetriebnahme","Installation und Inbetriebnahme","Installation und Inbetriebnahme",1,1,1,1,0,1,24,"Catalog (default)","Installation and Commissioning","Installation and Commissioning","Installation and Commissioning","Installation and Commissioning"
maintenance_repair,technical_services,"Wartung und Reparatur","Wartung und Reparatur","Wartung und Reparatur","Wartung und Reparatur",1,1,1,1,0,1,25,"Catalog (default)","Maintenance and Repair","Maintenance and Repair","Maintenance and Repair","Maintenance and Repair"
training_support,services,"Schulung & Support","Schulung & Support","Schulung & Support","Schulung & Support",1,1,1,1,0,1,35,"Catalog (default)","Training & Support","Training & Support","Training & Support","Training & Support"
operator_training,training_support,Bedienerschulung,Bedienerschulung,Bedienerschulung,Bedienerschulung,1,1,1,1,0,1,36,"Catalog (default)","Operator Training","Operator Training","Operator Training","Operator Training"
technical_seminars,training_support,"Technische Seminare","Technische Seminare","Technische Seminare","Technische Seminare",1,1,1,1,0,1,37,"Catalog (default)","Technical Seminars","Technical Seminars","Technical Seminars","Technical Seminars"
end_of_life_disposal_recycling,training_support,"Entsorgung & Recycling am Lebensende","Entsorgung & Recycling am Lebensende","Entsorgung & Recycling am Lebensende","Entsorgung & Recycling am Lebensende",1,1,1,1,0,1,41,"Catalog (default)","End-of-Life Disposal & Recycling","End-of-Life Disposal & Recycling","End-of-Life Disposal & Recycling","End-of-Life Disposal & Recycling"
